user	imgname	file_size	width	height	aspect_ratio	image_size	diagonal	file_size_s	gray_mean	gray_std_dev	HSV_H_mean	HSV_H_std_dev	HSV_S_mean	HSV_S_std_dev	HSV_V_mean	HSV_V_std_dev	HSV_H_circular_mean	HSV_H_circular_std_dev	contrast_range	contrast_range_lower	contrast_range_upper	colorful	hue_count	edge_density	edge_distance	edge_box_size	edge_box_x1	edge_box_y1	edge_box_x2	edge_box_y2	sharp_laplacian	dof_inner
realdonaldtrump	2016-10-30 17.13.30 1372728492198653660_347696668.jpg	46054	400	272	1.4705882352941178	108800	483.7189266505912	0.4232904411764706	115.39068014705883	82.25794401950982	95.35174632352941	64.22949065170006	76.55083639705883	79.66239499720145	130.59864889705884	78.81874060993543	156.69711168963792	33.35849022452568	221	0	220	39.362216424188944	3	0.08518382352941177	0.34892494504966326	0.8331985294117648	0	0	345	261	43.847808467515975	1.1748259185326961
realdonaldtrump	2016-10-30 17.42.16 1372742971145653201_347696668.jpg	47928	400	287	1.3937282229965158	114800	492.309861774066	0.4174912891986063	75.63103658536585	64.98621743563012	106.05203832752613	35.914153247859346	190.62437282229965	69.11733775320755	139.5370557491289	69.78763533026408	115.50250144140078	26.574979483424677	191	1	191	100.29859966116099	7	0.0984581881533101	0.336413263514237	0.7369337979094077	11	28	386	252	52.09926574627769	1.1008396064322168
realdonaldtrump	2016-10-30 19.20.41 1372792509315178580_347696668.jpg	71372	400	230	1.7391304347826086	92000	461.41087980237313	0.7757826086956522	59.958978260869564	54.75596187352733	55.970489130434785	64.09074247044518	146.97301086956523	70.264306758094	82.82746739130435	63.028874541571795	2.4054509529533177	27.729356503154136	139	0	138	53.22052609731126	6	0.26258695652173913	0.35460898456429346	0.8608695652173913	3	1	398	200	74.21010093292206	1.0902742390171352
realdonaldtrump	2016-10-31 11.48.39 1373289772047248358_347696668.jpg	65852	400	400	1.0	160000	565.685424949238	0.411575	95.46174375	54.10115097166913	66.154275	43.632968747546556	138.3421625	53.1351752591783	117.23530625	53.684781593284995	45.15363219490819	36.804876451467635	153	4	156	62.63912503682125	14	0.150725	0.3465937919566804	0.81	76	0	399	399	14.03270438063654	0.9574588903630211
realdonaldtrump	2016-10-31 11.50.06 1373290498945369660_347696668.jpg	85408	400	400	1.0	160000	565.685424949238	0.5338	98.86714375	64.87309317403353	72.4590875	52.52114468161698	50.2661625	40.676089659941425	110.17050625	68.0442210725401	134.423131530695	53.77399724595455	209	0	208	25.66762609294074	6	0.15433125	0.3300761885467798	0.8022	18	0	399	335	62.33202117329899	1.3882720842518637
realdonaldtrump	2016-10-31 14.14.06 1373362975738294190_347696668.jpg	60588	400	344	1.1627906976744187	137600	527.5755870015215	0.44031976744186047	103.79905523255815	84.77901480231769	95.81627906976745	62.32135804145656	129.97861191860466	93.40149417311751	140.76021075581394	93.6739384918338	152.52027115425332	41.48130257034213	242	0	241	102.93547659893649	9	0.10109738372093023	0.31885498800095236	0.7722892441860465	38	4	366	326	45.872817735249946	1.0806031545189767
realdonaldtrump	2016-10-31 14.15.10 1373363511963204698_347696668.jpg	67025	400	387	1.0335917312661498	154800	556.5689534999235	0.43297803617571057	73.26598837209302	65.08072749494418	125.17941860465116	42.868707742804055	123.97580103359174	72.20356439655626	101.34052325581395	74.62130019730999	139.33987129041537	28.18181593911135	168	0	167	73.49557029598903	12	0.10666666666666667	0.34774793319225333	0.824625322997416	9	54	396	382	48.535408116334715	0.8574301834585724
realdonaldtrump	2016-10-31 19.51.40 1373532877354782624_347696668.jpg	48541	400	209	1.9138755980861244	83600	451.3103145287065	0.580633971291866	44.66755980861244	50.022049303617145	94.66978468899522	68.69029552618893	85.48752392344498	55.70171981868241	53.5717942583732	51.52819559501618	164.00213261836547	33.58108585776756	105	2	106	19.65958231278701	8	0.20355263157894737	0.3466233542309158	0.8655502392344497	4	0	363	200	59.28155193875959	0.7751238988553398
realdonaldtrump	2016-10-31 21.34.30 1373584637708530551_347696668.jpg	71686	400	400	1.0	160000	565.685424949238	0.4480375	76.24501875	64.39971795017544	109.96458125	48.04843222480988	156.80410625	66.59079004929069	128.3521125	59.14466917472228	132.19656278708052	32.41980658655013	185	0	184	83.369953768802	5	0.09901875	0.33217189366901834	0.697175	31	20	346	372	55.24834581796177	1.203765581316669
realdonaldtrump	2016-11-01 14.04.25 1374082876119651525_347696668.jpg	44582	400	287	1.3937282229965158	114800	492.309861774066	0.3883449477351916	90.50421602787456	80.78839881395085	55.89441637630662	70.18504878784913	108.45772648083624	56.50146762351929	112.85955574912892	89.64982809716605	4.761432135260651	15.953452494309378	216	1	216	52.80000354528594	5	0.08382404181184669	0.33255015980559	0.7614982578397212	23	18	394	252	26.52046339803305	1.4776422323505176
realdonaldtrump	2016-11-01 14.08.00 1374084685240340649_347696668.jpg	63216	400	353	1.13314447592068	141200	533.4875818610964	0.4477053824362606	103.61077195467422	68.09525985798473	58.75384560906516	61.612509618125316	66.54225920679886	49.90727945672194	119.82197592067989	72.12430841321397	4.626633176761931	32.68671362190205	190	8	197	48.771539449257276	5	0.12240793201133145	0.3615593038206382	0.8661331444759207	0	25	373	351	33.30550558968343	0.9643774078105258
realdonaldtrump	2016-11-01 15.50.03 1374136045801337196_347696668.jpg	71272	400	400	1.0	160000	565.685424949238	0.44545	65.72241875	54.32113393882392	109.21461875	52.35629900061832	153.0522375	69.50447590798447	109.64001875	57.87934730756428	136.3521879625767	34.203669488766984	151	0	150	74.67821309239086	8	0.11111875	0.34168831700671615	0.79495625	26	19	366	391	60.18311344340047	1.3101380522128199
realdonaldtrump	2016-11-01 15.50.58 1374136508399701928_347696668.jpg	86343	400	400	1.0	160000	565.685424949238	0.53964375	91.15085	70.1481594147523	68.2856125	51.67341870342859	78.61861875	56.68263869644874	111.3023625	79.57531677234212	148.20459672019973	57.74314950653167	203	0	202	48.64452892503674	7	0.1409875	0.36078625349362026	0.861075	0	10	355	396	53.38141734837624	1.016966518400055
